Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover;Bad Destination
1;11;-8309.853;0;129.3334;129.3334;25.86667;19;19;19;5;1;50;100;-4000;-959.8524;-3500
2;11;-11908.87;0;24.99999;24.99999;4.999999;96.66667;96.66667;32.22223;5;3;150;100;-8000;-658.8679;-3500
3;11;-11248.69;0;192;192;31.99999;150.5;150.5;37.625;6;4;200;120;-8000;-568.6868;-3000
4;9;-4492.136;0;168.3333;168.3333;28.05556;67.33334;67.33334;33.66667;6;2;100;120;-2000;-712.1356;-2000
5;11;-10675.54;0;75.66669;75.66669;25.22223;45.66663;45.66663;45.66663;3;1;50;60;-6000;-785.5401;-4000
6;16;-20966.2;0;16.66666;16.66666;8.333332;68.66663;68.66663;34.33331;2;2;100;40;-14000;-1106.206;-6000
7;13;-10771.01;0;372.333;372.333;37.2333;155.9996;155.9996;51.99988;10;3;150;200;-6000;-621.0125;-4500
8;8;-4551.424;0;98.66662;98.66662;10.96296;109.9999;109.9999;54.99994;9;2;100;180;-2000;-1331.424;-1500
9;11;-9580.992;0;45.33333;45.33333;7.555555;32.5;32.5;16.25;6;2;100;120;-6000;-1300.992;-2500
10;9;-4404.941;0;223.6667;223.6667;20.33334;94.00008;94.00008;31.33336;11;3;150;220;-2000;-774.9415;-2000
11;11;-8516.266;0;239.3333;239.3333;26.59259;104.5;104.5;26.12501;9;4;200;180;-6000;-396.264;-2500
12;12;-8683.482;0;129.3333;129.3333;14.37037;109.6667;109.6667;27.41667;9;4;200;180;-6000;-563.4816;-2500
13;13;-11153.45;0;197.3333;197.3333;24.66667;48.83337;48.83337;24.41668;8;2;100;160;-6000;-913.4496;-4500
14;10;-3948.286;0;104.6667;104.6667;20.93333;78.99997;78.99997;39.49998;5;2;100;100;0;-1148.286;-3000
15;14;-11312.74;0;108;108;13.5;56.83334;56.83334;28.41667;8;2;100;160;-6000;-1072.74;-4500
16;17;-16763.07;0;154.6667;154.6667;22.09525;58.00002;58.00002;19.33334;7;3;150;140;-10000;-1053.074;-6000
17;10;-3045.739;0;106.3333;106.3333;15.19048;53.6666;53.6666;53.6666;7;1;50;140;0;-735.7393;-2500
18;16;-12999.34;0;144.9999;144.9999;16.1111;12.33333;12.33333;12.33333;9;1;50;180;-8000;-729.3427;-4500
19;10;-6213.209;0;193;193;21.44445;227.9999;227.9999;45.59998;9;5;250;180;-4000;-643.2093;-2000
20;15;-14572.39;0;122.6667;122.6667;13.62963;188.3333;188.3333;37.66665;9;5;250;180;-10000;-502.3945;-4500
21;19;-21843.89;0;231.3333;231.3333;23.13334;82.16672;82.16672;27.38891;10;3;150;200;-16000;-693.8918;-5500
22;14;-9201.343;0;155;155;25.83333;130.3333;130.3333;32.58331;6;4;200;120;-4000;-1021.343;-4500
23;18;-18399.72;0;193.6665;193.6665;24.20831;173.8333;173.8333;34.76665;8;5;250;160;-12000;-809.7169;-6000
24;14;-10691.71;0;220.6665;220.6665;24.51851;145;145;36.24999;9;4;200;180;-6000;-571.7069;-4500
25;14;-10097.23;0;243.6665;243.6665;20.30554;33.16669;33.16669;33.16669;12;1;50;240;-6000;-887.2264;-3500
26;10;-7104.114;0;296.6669;296.6669;37.08336;135.8333;135.8333;45.27775;8;3;150;160;-4000;-914.1132;-2500
27;14;-7030.431;0;95.33333;95.33333;11.91667;142.8333;142.8333;28.56666;8;5;250;160;-4000;-440.4311;-3000
28;14;-6918.574;0;246.6668;246.6668;24.66668;79.50008;79.50008;26.50002;10;3;150;200;-2000;-1768.576;-3500
29;9;-4647.632;0;336.3332;336.3332;42.04165;201.4999;201.4999;40.29999;8;5;250;160;-2000;-557.6323;-2500
30;14;-6973.289;0;280.3333;280.3333;25.48485;237.8332;237.8332;39.63887;11;6;300;220;-4000;-493.2884;-3000
31;16;-8660.492;0;220.6666;220.6666;24.51851;249.1667;249.1667;62.29168;9;4;200;180;-4000;-540.492;-4500
32;14;-1230.011;0;308;308;25.66666;194.9999;194.9999;32.49998;12;6;300;240;0;-270.0113;-1500
33;15;-10309.27;0;255.0001;255.0001;23.18183;101.1667;101.1667;25.29168;11;4;200;220;-6000;-729.2698;-4000
34;18;-15650.28;0;252.9998;252.9998;22.99998;216.4999;216.4999;36.08332;11;6;300;220;-10000;-670.2844;-5500
35;13;-6559.872;0;259.6667;259.6667;25.96667;170.1667;170.1667;34.03333;10;5;250;200;-4000;-509.8722;-2500
36;11;-5617.002;0;185.3333;185.3333;15.44444;275.5;275.5;27.55;12;10;500;240;-4000;-857.0014;-1500
37;19;-18081.7;0;107.6667;107.6667;11.96297;143.6667;143.6667;20.52381;9;7;350;180;-14000;-611.7032;-4000
38;16;-17270.71;0;158.3334;158.3334;17.5926;156;156;31.2;9;5;250;180;-12000;-700.7123;-5000
39;20;-23616.23;0;260.6665;260.6665;21.72221;449.9996;449.9996;64.28566;12;7;350;240;-16000;-1206.234;-7000
40;13;-5989.61;0;282.9999;282.9999;21.76922;413.6664;413.6664;37.60604;13;11;550;260;-4000;-299.6103;-2500
41;14;-7315.175;0;175.6667;175.6667;15.9697;163.4999;163.4999;40.87498;11;4;200;220;-4000;-735.1748;-3000
42;13;-7050.65;0;257.6666;257.6666;19.82051;187.3333;187.3333;31.22221;13;6;300;260;-4000;-610.6506;-3000
43;11;-1581.752;0;224.3332;224.3332;22.43332;197.3331;197.3331;39.46663;10;5;250;200;0;-531.7522;-1500
44;14;-5054.616;0;213.0001;213.0001;21.30001;281.1665;281.1665;40.16665;10;7;350;200;-2000;-604.6157;-3000
45;15;-9205.716;0;198.6666;198.6666;19.86666;220.3333;220.3333;36.72222;10;6;300;200;-6000;-705.7161;-3000
46;12;-4420.425;0;453.3333;453.3333;34.87179;286.3333;286.3333;40.90476;13;7;350;260;-2000;-530.4246;-2500
47;15;-5472.366;0;436.9998;436.9998;39.72725;209.6665;209.6665;52.41663;11;4;200;220;-2000;-892.3655;-3000
48;15;-10587.43;0;500.9995;500.9995;35.78568;148.8333;148.8333;37.20832;14;4;200;280;-6000;-1067.434;-4000
49;16;-12569.06;0;283.6666;283.6666;21.82051;399;399;44.33333;13;9;450;260;-8000;-779.0583;-4500
50;18;-11644.73;0;153;153;17.00001;270.0001;270.0001;54.00001;9;5;250;180;-6000;-1074.726;-5000
51;15;-10172.72;0;284.3333;284.3333;23.69444;307.1669;307.1669;61.43337;12;5;250;240;-6000;-662.7202;-4000
52;14;-9950.791;0;421.3332;421.3332;28.08888;537.3328;537.3328;44.77774;15;12;600;300;-8000;-350.7924;-2500
53;18;-13700.42;0;306.3333;306.3333;34.03703;90.99995;90.99995;30.33332;9;3;150;180;-8000;-1030.425;-5000
54;15;-6993.187;0;250.0001;250.0001;22.72728;208.5001;208.5001;29.78572;11;7;350;220;-4000;-563.1868;-3000
55;14;-9008.713;0;241.9999;241.9999;18.61538;405.8333;405.8333;33.81945;13;12;600;260;-6000;-868.7132;-3000
56;16;-10761.18;0;270.9999;270.9999;20.84615;384.8333;384.8333;34.98485;13;11;550;260;-8000;-571.184;-3000
57;17;-12674.75;0;432.9998;432.9998;39.36362;307.1666;307.1666;43.88095;11;7;350;220;-8000;-744.7498;-4500
58;19;-13326.85;0;159.3333;159.3333;13.27777;363.9999;363.9999;30.33332;12;12;600;240;-10000;-666.8462;-3500
59;18;-11453.39;0;576.3329;576.3329;41.16664;295.1666;295.1666;36.89583;14;8;400;280;-6000;-633.3943;-5500
60;19;-20318.07;0;698.3329;698.3329;46.55553;444.1662;444.1662;49.3518;15;9;450;300;-14000;-568.0693;-6500
61;21;-18005.24;0;394.3334;394.3334;26.28889;297.3331;297.3331;42.47616;15;7;350;300;-12000;-1155.239;-5500
62;19;-13875.28;0;569.3336;569.3336;37.95557;327.3332;327.3332;36.37035;15;9;450;300;-10000;-625.2841;-4000
63;18;-14411.01;0;285.9999;285.9999;31.77777;150.5001;150.5001;25.08334;9;6;300;180;-10000;-891.0156;-4000
64;17;-11740.9;0;302.6665;302.6665;30.26665;254.6665;254.6665;42.44442;10;6;300;200;-8000;-740.8998;-3500
65;14;-2548.385;0;294.3333;294.3333;21.02381;411.333;411.333;41.1333;14;10;500;280;0;-328.3842;-3000
66;18;-17584.23;0;516;516;32.25;797.666;797.666;61.35892;16;13;650;320;-12000;-554.2271;-6000
67;17;-18299.9;0;278.6665;278.6665;27.86665;136.8334;136.8334;45.61115;10;3;150;200;-12000;-1149.903;-5500
68;19;-12983.13;0;431.3333;431.3333;30.80952;289.4999;289.4999;36.18749;14;8;400;280;-8000;-1163.134;-4500
69;19;-9994.507;0;161;161;14.63636;334.1666;334.1666;37.12962;11;9;450;220;-6000;-664.5059;-4000
70;18;-10662.3;0;794.0004;794.0004;49.62502;192.6667;192.6667;32.11111;16;6;300;320;-6000;-782.3005;-4500
71;17;-11850.86;0;305.3333;305.3333;17.96078;434.9996;434.9996;39.54542;17;11;550;340;-8000;-740.8573;-4000
72;22;-16338.76;0;365.6666;365.6666;26.11904;335.3332;335.3332;33.53332;14;10;500;280;-10000;-1118.765;-6000
73;20;-19315.28;0;343.6666;343.6666;28.63888;585.6664;585.6664;53.2424;12;11;550;240;-14000;-605.2828;-5500
74;17;-8793.573;0;495.9997;495.9997;29.17645;489.3329;489.3329;37.64099;17;13;650;340;-6000;-283.5717;-3500
75;19;-3513.947;0;354.3333;354.3333;22.14583;412.1666;412.1666;31.70512;16;13;650;320;-2000;-483.9474;-2000
