Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Waiting Reward;Bad Destination;Reward Drop off VIP;Reward Pick up VIP;Waiting Reward VIP
1;34;-155332.1;0;979.667;979.667;36.28396;1073.834;1073.834;63.16669;27;17;850;540;-8000;-140223.1;-8500;0;0;0
2;35;-152054.5;0;894.6674;894.6674;30.8506;1078.666;1078.666;46.89853;29;23;1150;580;-10000;-120932.7;-7500;500;200;-16050.58
3;37;-251396.7;0;876.3334;876.3334;27.38542;1163.834;1163.834;50.60147;32;23;1150;640;-14000;-129411.1;-7500;0;200;-102475.4
4;34;-146024.4;0;845.6671;845.6671;30.20239;1185.334;1185.334;49.3889;28;24;1200;560;-8000;-117531.6;-7000;500;200;-15954.08
5;37;-189229.5;0;1285.667;1285.667;47.61728;1550.001;1550.001;62.00003;27;25;1250;540;-14000;-167019.2;-10000;0;0;0
6;37;-137270.9;0;853.333;853.333;27.52687;1422.334;1422.334;54.70516;31;26;1300;620;-14000;-117190.7;-8000;0;0;0
7;33;-93804.39;0;788.3334;788.3334;24.63542;1291;1291;41.64516;32;31;1550;640;-6000;-86994.55;-3000;0;0;0
8;43;-144031.2;0;997.6666;997.6666;34.40229;996.9999;996.9999;41.54166;29;24;1200;580;-26000;-108811.3;-11000;0;0;0
9;45;-194072.1;0;712.3331;712.3331;27.39743;850.3326;850.3326;42.51663;26;20;1000;520;-30000;-154091.7;-11500;0;0;0
10;37;-113109.4;0;708.6666;708.6666;21.47475;1470.334;1470.334;54.45681;33;27;1350;660;-14000;-93619.48;-7500;0;0;0
11;37;-186899.4;0;1135.667;1135.667;34.41415;1569.667;1569.667;58.13583;33;27;1350;660;-14000;-120243.4;-7000;1000;400;-49064.77
12;36;-107268.7;0;779.3332;779.3332;23.61616;1412.334;1412.334;47.0778;33;30;1500;660;-12000;-92428.72;-5000;0;0;0
13;34;-131246.7;0;879.6669;879.6669;25.87255;1257.334;1257.334;48.35899;34;26;1300;680;-8000;-106270.1;-6000;0;200;-13156.43
14;38;-113272.7;0;1015.667;1015.667;35.023;1104.667;1104.667;42.48721;29;26;1300;580;-16000;-91652.99;-7500;0;0;0
15;37;-133864.7;0;1172.666;1172.666;34.49019;1718.833;1718.833;57.29442;34;30;1500;680;-14000;-115045.2;-7000;0;0;0
16;38;-171744.5;0;1079.667;1079.667;31.75493;1680.835;1680.835;56.02782;34;30;1500;680;-16000;-119827.6;-7500;500;400;-31496.53
17;44;-170596.4;0;1015;1015;30.75759;1687.167;1687.167;60.25598;33;28;1400;660;-28000;-134655.1;-10000;0;0;0
18;38;-144424.3;0;952.0002;952.0002;27.2;1598.835;1598.835;55.13224;35;29;1450;700;-16000;-114942.1;-8500;0;0;-7131.496
19;40;-126113.9;0;921.6663;921.6663;30.72221;1075.5;1075.5;39.83332;30;27;1350;600;-20000;-88661.14;-9000;500;200;-11103.24
20;39;-140064.8;0;798.6669;798.6669;24.20203;1524.667;1524.667;52.57472;33;29;1450;660;-18000;-117175.7;-7000;0;0;0
21;38;-144572.7;0;1305.334;1305.334;35.27929;1540.501;1540.501;49.69358;37;31;1550;740;-16000;-123361.5;-7500;0;0;0
22;45;-169984.9;0;1142.333;1142.333;35.6979;1516.999;1516.999;58.34613;32;26;1300;640;-30000;-130424.3;-11500;0;0;0
23;39;-144908.8;0;1032.667;1032.667;34.42225;1395.501;1395.501;49.83932;30;28;1400;600;-18000;-119908.4;-9000;0;0;0
24;33;-190185.8;0;1948;1948;51.26317;2002.834;2002.834;55.63429;38;36;1800;760;-6000;-180746.3;-6000;0;0;0
