Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Waiting Reward;Bad Destination
1;38;-145979.9;0;1241.001;1241.001;42.79313;1184.5;1184.5;51.50002;29;23;1150;580;-16000;-121710.1;-10000
2;40;-144071.7;0;797;797;28.46428;1296.666;1296.666;61.74602;28;21;1050;560;-20000;-115681.8;-10000
3;35;-81135.96;0;772.3332;772.3332;27.58333;988.1661;988.1661;38.00639;28;26;1300;560;-10000;-67995.83;-5000
4;36;-123286;0;990.9994;990.9994;34.17239;1403.833;1403.833;56.15333;29;25;1250;580;-12000;-105115.6;-8000
5;36;-140235.1;0;1143.999;1143.999;33.64703;1569.498;1569.498;52.3166;34;30;1500;680;-12000;-123915.2;-6500
6;32;-109974.4;0;928.3337;928.3337;29.94625;1282;1282;49.3077;31;26;1300;620;-4000;-102894;-5000
7;39;-200592.3;0;1382.999;1382.999;47.68963;1607.5;1607.5;66.97917;29;24;1200;580;-18000;-175372;-9000
8;37;-231589.6;0;2225.001;2225.001;65.44122;1947.169;1947.169;64.90564;34;30;1500;680;-14000;-211769.4;-8000
9;35;-148944.6;0;1236;1236;37.45455;1660.835;1660.835;61.51241;33;27;1350;660;-10000;-132954.9;-8000
10;40;-178360.3;0;1209.333;1209.333;37.79166;1376;1376;55.03999;32;25;1250;640;-20000;-148749.5;-11500
11;37;-124494.9;0;881.3328;881.3328;29.37776;1060.166;1060.166;44.17357;30;24;1200;600;-14000;-105295.6;-7000
12;38;-151513.6;0;837.6669;837.6669;29.91667;1657.168;1657.168;69.04865;28;24;1200;560;-16000;-129773.6;-7500
13;37;-149097.2;0;1245.001;1245.001;38.90628;1661.001;1661.001;57.27589;32;29;1450;640;-14000;-130186.6;-7000
14;37;-145156.6;0;1149;1149;39.62068;1291.166;1291.166;53.79858;29;24;1200;580;-14000;-125937.1;-7000
15;36;-142790.6;0;1143;1143;34.63638;1478.667;1478.667;56.87182;33;26;1300;660;-12000;-124251.5;-8500
16;37;-120226;0;1013.667;1013.667;30.71717;1424.501;1424.501;50.87504;33;28;1400;660;-14000;-102285.9;-6000
17;41;-114385.5;0;758.9998;758.9998;22.99999;1296.833;1296.833;39.29798;33;33;1650;660;-22000;-85195.45;-9500
18;33;-123455.8;0;957.9999;957.9999;27.37143;1405.332;1405.332;48.45974;35;29;1450;700;-6000;-114106.3;-5500
19;33;-123300.5;0;1034;1034;25.21952;1664.5;1664.5;48.95588;41;34;1700;820;-6000;-114320.5;-5500
20;32;-177040.1;0;1710.335;1710.335;43.85474;1544.334;1544.334;57.19754;39;27;1350;780;-4000;-170170.2;-5000
21;38;-122799;0;803.6667;803.6667;25.11459;1538;1538;53.03447;32;29;1450;640;-16000;-101389.2;-7500
22;34;-262439.4;0;998.6666;998.6666;29.37255;1104.667;1104.667;48.02898;34;23;1150;680;-8000;-247269.1;-9000
23;38;-182918.3;0;1343.667;1343.667;35.35966;2090.334;2090.334;61.48041;38;34;1700;760;-16000;-160878.5;-8500
24;38;-114397;0;890.6664;890.6664;28.73117;1193.166;1193.166;47.72663;31;25;1250;620;-16000;-92766.47;-7500
25;41;-169122.8;0;1033.334;1033.334;32.29168;1322.834;1322.834;60.12882;32;22;1100;640;-22000;-138361.7;-10500
26;37;-150944.7;0;955.0005;955.0005;34.10716;1584.834;1584.834;68.90584;28;23;1150;560;-14000;-131154.6;-7500
27;34;-152337.1;0;1172.666;1172.666;34.49018;1594.666;1594.666;54.98848;34;29;1450;680;-8000;-138965.8;-7500
28;35;-198559.1;0;1301.667;1301.667;40.67709;2045.334;2045.334;75.75311;32;27;1350;640;-10000;-184549.6;-6000
29;42;-197728;0;1616.334;1616.334;44.89816;2071.835;2071.835;66.83339;36;31;1550;720;-24000;-165497.4;-10500
30;34;-174704.6;0;1398;1398;41.11766;2035.168;2035.168;65.65059;34;31;1550;680;-8000;-162433.8;-6500
31;37;-252111.9;0;1110.667;1110.667;30.01802;995.0002;995.0002;45.22728;37;22;1100;740;-14000;-233952.7;-6000
32;37;-172367;0;1128.667;1128.667;31.35185;2128.502;2128.502;68.66135;36;31;1550;720;-14000;-153137.5;-7500
33;39;-184792.4;0;1361.667;1361.667;34.04167;2308.167;2308.167;64.11575;40;36;1800;800;-18000;-159893.8;-9500
34;36;-189356.5;0;961.6667;961.6667;32.05556;1958.333;1958.333;81.59722;30;24;1200;600;-12000;-172656;-6500
35;39;-149564.9;0;1088;1088;36.26665;1318;1318;52.72;30;25;1250;600;-18000;-125914.8;-7500
36;34;-217595.5;0;1729.001;1729.001;43.22504;2537.501;2537.501;72.50003;40;35;1750;800;-8000;-206643.7;-5500
37;40;-163208.6;0;1287.999;1287.999;36.79996;1375.833;1375.833;49.13688;35;28;1400;700;-20000;-136306.9;-9000
38;35;-132811.8;0;1035;1035;27.23684;1809.5;1809.5;50.26387;38;36;1800;760;-10000;-120372.1;-5000
39;33;-141859.5;0;1297.333;1297.333;31.64227;1767.833;1767.833;51.9951;41;34;1700;820;-6000;-134879.5;-3500
40;37;-147583.7;0;1169;1169;32.47222;1666.167;1666.167;57.45403;36;29;1450;720;-14000;-127753.1;-8000
41;35;-207934.5;0;1682.667;1682.667;45.47748;2265.501;2265.501;75.5167;37;30;1500;740;-10000;-193175.1;-7000
42;35;-473897.7;0;596.3333;596.3333;22.08642;604.3336;604.3336;40.28891;27;15;750;540;-10000;-457185.8;-8000
43;36;-181594.7;0;1310.001;1310.001;38.52943;1812.501;1812.501;62.50003;34;29;1450;680;-12000;-165724.6;-6000
44;42;-339140;0;1339;1339;44.63335;1644.668;1644.668;78.31753;30;21;1050;600;-24000;-303291.5;-13500
45;47;-182468.3;0;1119.667;1119.667;34.98959;1461.167;1461.167;52.18454;32;28;1400;640;-34000;-138506.8;-12000
46;36;-156659.1;0;1101.666;1101.666;29.77476;2114.001;2114.001;62.17649;37;34;1700;740;-12000;-139597;-7500
47;42;-167947.8;0;1436.333;1436.333;37.79823;1869.666;1869.666;54.99019;38;34;1700;760;-24000;-135907.6;-10500
48;40;-379702.7;0;1108;1108;34.625;706.3333;706.3333;41.54902;32;17;850;640;-20000;-351196.1;-10000
49;41;-206598.7;0;1629;1629;41.76923;2163.667;2163.667;63.63727;39;34;1700;780;-22000;-176579.2;-10500
50;39;-230019.3;0;1652.333;1652.333;42.36753;2125;2125;70.83334;39;30;1500;780;-18000;-206799.1;-7500
51;46;-246351.9;0;1483.667;1483.667;38.04275;2455;2455;76.71874;39;32;1600;780;-32000;-204732.5;-12000
52;36;-220243.4;0;1769.001;1769.001;46.55266;2228.502;2228.502;69.64069;38;32;1600;760;-12000;-202602.6;-8000
53;33;-174938.8;0;1394;1394;35.74359;2507.002;2507.002;65.97374;39;38;1900;780;-6000;-166619;-5000
54;36;-160616.3;0;1589;1589;40.74358;1898.167;1898.167;54.23334;39;35;1750;780;-12000;-143146.7;-8000
