Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover;;Mean average reward;
1;10;-7.951.192;0;3.866.668;3.866.668;1.288.889;8.816.667;8.816.667;4.408.334;3;2;60;60;-100;-8.151.192;;;
2;12;-1166.85;0;1.566.666;1.566.666;7.833.332;3.216.669;3.216.669;3.216.669;2;1;30;40;-300;-9.368.502;;;
3;13;-8.753.715;0;7.866.666;7.866.666;1.123.809;5.183.332;5.183.332;2.591.666;7;2;60;140;-400;-6.753.715;;;
4;10;-9.767.761;0;2.196.667;2.196.667;1.830.556;8.733.328;8.733.328;4.366.664;12;2;60;240;-100;-1.176.776;;;
5;14;-7.136.096;0;3.146.665;3.146.665;2.860.605;2.394.998;2.394.998;3.991.663;11;6;180;220;-400;-7.136.096;;-8.402.191;-260
6;17;-7.249.713;0;2.423.332;2.423.332;3.029.165;132.5;132.5;4.416.666;8;3;90;160;-400;-5.749.713;;-8.226.821;-320
7;14;-2.035.186;0;2.773.333;2.773.333;2.521.212;239.5;239.5;2.993.749;11;8;240;220;-100;-3.803.519;;-6.988.494;-280
8;11;-5.347.039;0;154;154;2.566.667;2.366.666;2.366.666;5.916.666;6;4;120;120;-100;-6.747.038;;-6.307.159;-220
9;17;-4.233.698;0;1.206.667;1.206.667;1.206.667;1.863.332;1.863.332;3.726.664;10;5;150;200;-300;-4.733.698;;-5.200.346;-260
10;16;-4.756.901;0;2.229.999;2.229.999;2.229.999;2.791.666;2.791.666;4.652.776;10;6;180;200;-400;-4.556.901;;-4.724.507;-260
11;15;-6.532.363;0;1.816.666;1.816.666;1.651.514;2.173.332;2.173.332;362.222;11;6;180;220;-200;-8.532.363;;-4.581.037;-220
12;15;232.21;0;3.236.664;3.236.664;2.157.776;3.681.664;3.681.664;3.346.967;15;11;330;300;-100;-297.79;;-5.217.500;-220
