Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover
1;13;-953.0479;0;136.3333;136.3333;13.63333;47.16668;47.16668;23.58334;10;2;60;200;-300;-913.0479
2;9;-511.0957;0;376.333;376.333;41.81478;31.33331;31.33331;15.66666;9;2;60;180;-100;-651.0958
3;9;-179.4863;0;206.3333;206.3333;20.63333;159.1665;159.1665;39.79162;10;4;120;200;-100;-399.4864
4;8;-513.4936;0;184.3332;184.3332;23.04165;52.00002;52.00002;26.00001;8;2;60;160;0;-733.4935
5;15;-646.2427;0;172.6666;172.6666;21.58333;105.3334;105.3334;26.33335;8;4;120;160;-300;-626.2427
6;14;-708.4667;0;111;111;15.85715;74.50001;74.50001;37.25;7;2;60;140;-300;-608.4667
7;12;-893.0933;0;493.6667;493.6667;49.36668;198.1666;198.1666;49.54166;10;4;120;200;-100;-1113.093
8;15;-526.0585;0;310.9999;310.9999;31.09999;207.9999;207.9999;34.66665;10;6;180;200;-400;-506.0585
9;14;-592.3966;0;166.3334;166.3334;18.48148;96.33334;96.33334;24.08334;9;4;120;180;-200;-692.3966
10;14;-315.358;0;243;243;24.3;306.6666;306.6666;38.33332;10;8;240;200;-300;-455.358
11;15;-104.5015;0;259.6667;259.6667;19.97436;290.9998;290.9998;36.37498;13;8;240;260;-300;-304.5015
12;17;-1102.628;0;239.9998;239.9998;26.66665;182.8333;182.8333;36.56665;9;5;150;180;-300;-1132.628
13;13;-122.4175;0;267.3332;267.3332;22.27777;285.6665;285.6665;35.70831;12;8;240;240;0;-602.4175
14;18;-430.5797;0;472;472;24.84211;269.6667;269.6667;33.70833;19;8;240;380;-400;-650.5796
15;16;19.27333;0;374.3333;374.3333;26.73809;531.1666;531.1666;53.11666;14;10;300;280;-200;-360.7267
16;17;148.0162;0;484.9998;484.9998;28.5294;521.8334;521.8334;47.4394;17;11;330;340;0;-521.9838
17;13;-293.9611;0;234.9999;234.9999;15.66666;387.8331;387.8331;38.78331;15;10;300;300;-100;-793.9612
18;17;183.8261;0;271.9998;271.9998;15.99999;379.833;379.833;29.21792;17;13;390;340;0;-546.1738
19;25;-200.773;0;678.6664;678.6664;28.27777;629.6661;629.6661;39.35413;24;16;480;480;-700;-460.773
20;9;-709.3856;0;70.33334;70.33334;14.06667;19.16667;19.16667;19.16667;5;1;30;100;0;-839.3856
21;23;-339.9763;0;437;437;25.70588;409.5;409.5;34.125;17;12;360;340;-400;-639.9762
