Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover;Bad Destination
1;16;-12640.81;0;151.6667;151.6667;16.85185;55.66667;55.66667;18.55556;9;3;150;180;-8000;-470.8143;-4500
2;16;-19293.06;0;227.6666;227.6666;28.45832;96.50015;96.50015;96.50015;8;1;50;160;-12000;-1003.059;-6500
3;15;-9747.869;0;132.9999;132.9999;14.77777;121.6666;121.6666;40.55555;9;3;150;180;-6000;-577.8699;-3500
4;10;-2824.055;0;123.6667;123.6667;17.66667;91.83332;91.83332;30.61111;7;3;150;140;0;-1114.055;-2000
5;13;-11801.07;0;329;329;36.55556;122.3332;122.3332;40.77774;9;3;150;180;-8000;-631.0742;-3500
6;15;-6290.205;0;261;261;26.1;267.6667;267.6667;33.45834;10;8;400;200;-2000;-890.205;-4000
7;12;-6533.495;0;483.6667;483.6667;26.87037;236.6665;236.6665;47.33331;18;5;250;360;-4000;-643.4941;-2500
8;15;-9645.522;0;94.33333;94.33333;9.433332;227.9999;227.9999;32.57141;10;7;350;200;-6000;-695.5237;-3500
9;15;-7775.671;0;273.6666;273.6666;22.80555;258.1665;258.1665;43.02775;12;6;300;240;-4000;-815.6715;-3500
10;24;-18401.53;0;245.9999;245.9999;20.49999;358.1664;358.1664;39.79627;12;9;450;240;-12000;-591.5288;-6500
11;15;-6901.185;0;443.3334;443.3334;29.55556;214.9998;214.9998;23.88887;15;9;450;300;-4000;-651.1848;-3000
12;21;-18650.06;0;406.6668;406.6668;25.41668;494.3328;494.3328;49.43328;16;10;500;320;-14000;-470.0608;-5000
13;17;-14890.21;0;463.3332;463.3332;35.64101;243.8333;243.8333;40.63887;13;6;300;260;-10000;-950.2118;-4500
14;21;-19992.15;0;408.0002;408.0002;27.20001;512.3328;512.3328;51.23328;15;10;500;300;-14000;-792.1522;-6000
15;20;-12800.75;0;186;186;15.5;391.3334;391.3334;43.48149;12;9;450;240;-8000;-990.7522;-4500
16;21;-16556.31;0;276;276;25.09091;285.4998;285.4998;47.58331;11;6;300;220;-10000;-1576.311;-5500
17;24;-18531.46;0;373.9999;373.9999;28.76923;326.6665;326.6665;36.29628;13;9;450;260;-12000;-741.4649;-6500
18;18;-11288.36;0;653.0001;653.0001;34.36843;554.0001;554.0001;46.16667;19;12;600;380;-8000;-768.3581;-3500
19;18;-9004.756;0;275.3332;275.3332;21.17948;320.4998;320.4998;35.6111;13;9;450;260;-4000;-1214.755;-4500
20;17;-7335.463;0;588.3335;588.3335;34.60785;474.1663;474.1663;47.41663;17;10;500;340;-4000;-675.4631;-3500
21;20;-7059.416;0;360.6667;360.6667;24.04445;504.5;504.5;42.04167;15;12;600;300;-4000;-459.4158;-3500
22;24;-13580.57;0;375.3334;375.3334;20.85185;440.1667;440.1667;33.85897;18;13;650;360;-10000;-590.5694;-4000
23;22;-12919.86;0;503.3334;503.3334;26.49123;538.0002;538.0002;38.42859;19;14;700;380;-10000;-499.8631;-3500
